Date,Time,Dissolved Oxygen,Temperature,pH,Water Level,Turbidity,Salinity
Oct-28-2021,07:12:17,6,0,0,0,0,0

Oct-28-2021,07:12:18,1,0,0,0,0,0

Oct-28-2021,07:12:19,9,0,0,0,0,0

Oct-28-2021,07:12:20,1,0,0,0,0,0

Oct-28-2021,07:12:21,1,0,0,0,0,0

Oct-28-2021,07:12:22,2,0,0,0,0,0

Oct-29-2021,06:46:25,2,0,0,0,0,0

Oct-29-2021,06:46:27,9,0,0,0,0,0

Oct-29-2021,06:46:31,0,0,0,0,0,0

Oct-29-2021,06:50:02,0,0,0,0,0,0

Oct-29-2021,06:50:03,8,0,0,0,0,0

Oct-29-2021,06:50:04,3,0,0,0,0,0

Oct-29-2021,06:50:05,5,0,0,0,0,0

Oct-29-2021,06:50:06,5,0,0,0,0,0

Oct-29-2021,06:50:08,4,0,0,0,0,0

Oct-29-2021,06:50:11,4,0,0,0,0,0

Oct-29-2021,06:50:13,5,0,0,0,0,0

Oct-29-2021,06:50:15,0,0,0,0,0,0

Oct-29-2021,06:50:17,0,0,0,0,0,0

Oct-29-2021,06:50:20,4,0,0,0,0,0

Oct-29-2021,06:50:22,9,0,0,0,0,0

Oct-29-2021,06:50:24,9,0,0,0,0,0

Oct-29-2021,06:50:27,5,0,0,0,0,0

Oct-29-2021,06:50:29,4,0,0,0,0,0

Oct-29-2021,06:50:31,9,0,0,0,0,0

Oct-29-2021,06:50:33,8,0,0,0,0,0

Oct-29-2021,06:50:35,8,0,0,0,0,0

Oct-29-2021,06:50:45,5,0,0,0,0,0

Oct-29-2021,06:50:46,3,0,0,0,0,0

Oct-29-2021,06:50:47,0,0,0,0,0,0

Oct-29-2021,06:50:48,6,0,0,0,0,0

Oct-29-2021,06:50:49,0,0,0,0,0,0

Oct-29-2021,06:50:50,2,0,0,0,0,0

Oct-29-2021,06:50:51,0,0,0,0,0,0

Oct-29-2021,06:50:53,0,0,0,0,0,0

Oct-29-2021,06:51:44,8,0,0,0,0,0

Oct-29-2021,06:51:46,9,0,0,0,0,0

Oct-29-2021,06:51:49,1,0,0,0,0,0

Oct-29-2021,06:51:51,9,0,0,0,0,0

Oct-29-2021,06:53:10,1,0,0,0,0,0

Oct-29-2021,06:53:12,3,0,0,0,0,0

Oct-29-2021,06:53:15,3,0,0,0,0,0

Oct-29-2021,06:53:22,3,0,0,0,0,0
Oct-29-2021,06:53:24,8,0,0,0,0,0

Oct-29-2021,06:53:26,0,0,0,0,0,0

Oct-29-2021,06:53:30,9,0,0,0,0,0

Oct-29-2021,06:53:32,0,0,0,0,0,0

Oct-29-2021,06:53:36,6,0,0,0,0,0

Oct-29-2021,06:53:38,4,0,0,0,0,0

Oct-29-2021,06:56:12,2,0,0,0,0,0

Oct-29-2021,06:56:15,8,0,0,0,0,0

Oct-29-2021,06:56:17,0,0,0,0,0,0

Oct-29-2021,06:56:21,1,0,0,0,0,0

Oct-29-2021,06:56:23,3,0,0,0,0,0

Oct-29-2021,06:56:25,9,0,0,0,0,0

Oct-29-2021,06:56:27,8,0,0,0,0,0

Oct-29-2021,06:56:30,4,0,0,0,0,0

Oct-29-2021,06:56:32,5,0,0,0,0,0

Oct-29-2021,06:56:34,4,0,0,0,0,0

Oct-29-2021,06:56:36,2,0,0,0,0,0

Oct-29-2021,06:56:38,5,0,0,0,0,0

Oct-29-2021,06:56:41,7,0,0,0,0,0

Oct-29-2021,06:56:44,9,0,0,0,0,0

Oct-29-2021,06:56:46,3,0,0,0,0,0

Oct-29-2021,06:56:48,3,0,0,0,0,0

Oct-29-2021,06:56:51,8,0,0,0,0,0

Oct-29-2021,06:56:53,8,0,0,0,0,0

Oct-29-2021,06:56:56,0,0,0,0,0,0

Oct-29-2021,06:56:58,7,0,0,0,0,0

Oct-29-2021,07:45:59,9,0,0,0,0,0

Oct-29-2021,07:46:00,7,0,0,0,0,0

Oct-29-2021,07:46:01,3,0,0,0,0,0

Oct-29-2021,07:46:02,5,0,0,0,0,0

Oct-29-2021,07:46:03,0,0,0,0,0,0

Oct-29-2021,07:46:04,5,0,0,0,0,0

Oct-29-2021,07:46:05,0,0,0,0,0,0

Oct-29-2021,07:46:07,3,0,0,0,0,0

Oct-29-2021,07:46:14,3,0,0,0,0,0

Oct-29-2021,07:46:23,4,0,0,0,0,0

Oct-29-2021,07:46:25,8,0,0,0,0,0

Oct-29-2021,07:46:27,7,0,0,0,0,0

